feature,feature_type,bin_description,count,bad,bad_rate,woe,total_iv,coefficient,bin_points
bc_open_to_buy,continuous,"[883, 1682)",59211,13142,0.22195200216176048,-0.1610674520617068,0.057712531617155075,-0.6382642190582105,-7.415711582554025
bc_open_to_buy,continuous,"[1682, 2707)",59257,12862,0.21705452520377339,-0.1324809535791755,0.057712531617155075,-0.6382642190582105,-6.099559714575417
bc_open_to_buy,continuous,"[2707, 4074)",59272,12288,0.20731542718315563,-0.07421342978688042,0.057712531617155075,-0.6382642190582105,-3.416862834837577
bc_open_to_buy,continuous,"[4074, 5981)",59286,11853,0.19992915696791821,-0.028661776685647348,0.057712531617155075,-0.6382642190582105,-1.319617754075495
bc_open_to_buy,continuous,"[5981, 8863)",59248,11145,0.1881076154469349,0.04695178634891637,0.057712531617155075,-0.6382642190582105,2.161708659275674
bc_open_to_buy,continuous,"[8863, 13739)",59269,10125,0.17083129460594915,0.1643406193130348,0.057712531617155075,-0.6382642190582105,7.566411578031762
bc_open_to_buy,continuous,"[13739, 23962)",59270,9106,0.15363590349249198,0.2909518367734362,0.057712531617155075,-0.6382642190582105,13.395722588940764
bc_open_to_buy,continuous,"[23962, inf)",59270,7031,0.1186266239244137,0.5900715351949405,0.057712531617155075,-0.6382642190582105,27.167501950699112
bc_open_to_buy,continuous,__MISSING__,5947,1255,0.21103077181772323,-0.09693573432644044,0.057712531617155075,-0.6382642190582105,-4.4630211666387165
mort_acc,continuous,"[-inf, 0)",239400,53590,0.2238512949039265,-0.17202798345603867,0.02973156735598819,-0.652882678186508,-8.101749073773343
mort_acc,continuous,"[0, 1)",100268,19884,0.19830853313120836,-0.01850266928831676,0.02973156735598819,-0.652882678186508,-0.8713930184926127
mort_acc,continuous,"[1, 2)",85118,15520,0.1823351112573134,0.08519777759723467,0.02973156735598819,-0.652882678186508,4.012434499718095
mort_acc,continuous,"[2, 3)",65111,11045,0.16963339527883153,0.17280815813851047,0.02973156735598819,-0.652882678186508,8.13849181401893
mort_acc,continuous,"[3, 5)",74721,11983,0.16036990939628754,0.24006108362033526,0.02973156735598819,-0.652882678186508,11.30580399070419
mort_acc,continuous,"[5, inf)",34031,4944,0.1452793041638506,0.35664917384471995,0.02973156735598819,-0.652882678186508,16.7965819037627
mths_since_recent_inq,continuous,"[-inf, 1)",112005,26452,0.2361680282130262,-0.2415793212756628,0.037971584112456644,-0.4069428764165733,-7.091494176118897
