feature,feature_type,bin,bin_description,count,bad,good,dist_good,dist_bad,woe,iv_component,bad_rate,total_iv
mths_since_recent_inq,continuous,__MISSING__,__MISSING__,58937,8034,50903,0.10567732640215242,0.06868796539313163,0.43081635324342854,0.015935621618711007,0.13631504827188354,0.037971584112456644
num_accts_ever_120_pd,continuous,0,"[-inf, 0)",452006,86127,365879,0.7595840841713655,0.7363401643198509,0.031078834071883065,0.0007223939282453688,0.19054393083277654,0.002867560532005602
num_accts_ever_120_pd,continuous,1,"[0, inf)",146643,30839,115804,0.24041591582863453,0.2636598356801491,-0.09228936502379365,0.0021451666037602328,0.21029984383843756,0.002867560532005602
num_actv_rev_tl,continuous,0,"[-inf, 2)",68879,10922,57957,0.12032178538990528,0.09337824494210079,0.25351130419905005,0.006830492078662773,0.15856792345998055,0.030702581054029104
num_actv_rev_tl,continuous,1,"[2, 3)",81873,13667,68206,0.14159906578435189,0.11684570041164224,0.19214531915436908,0.004756243289684002,0.16692926850121528,0.030702581054029104
num_actv_rev_tl,continuous,2,"[3, 4)",92145,16397,75748,0.15725652004671078,0.1401849184196015,0.11491596074305772,0.0019617995024020095,0.1779477996635737,0.030702581054029104
num_actv_rev_tl,continuous,3,"[4, 5)",86274,16512,69762,0.1448293758920462,0.14116807229173167,0.02560514898170072,9.374822415329064e-05,0.19139022185131094,0.030702581054029104
num_actv_rev_tl,continuous,4,"[5, 6)",71645,14363,57282,0.11892046191773713,0.12279591862905605,-0.03206889684569198,0.00012428162150523113,0.20047456207690698,0.030702581054029104
num_actv_rev_tl,continuous,5,"[6, 7)",55845,11584,44261,0.09188841313091994,0.09903779157992827,-0.07492657028488851,0.0005356784068528897,0.2074312830154893,0.030702581054029104
num_actv_rev_tl,continuous,6,"[7, 8)",41397,9167,32230,0.06691163876994939,0.07837446193698411,-0.15812520904399602,0.001812561309521725,0.22144116723434065,0.030702581054029104
num_actv_rev_tl,continuous,7,"[8, 10)",50731,11639,39092,0.08115738938627222,0.09950799560572965,-0.2038476506031042,0.003740727964979109,0.2294257948788709,0.030702581054029104
num_actv_rev_tl,continuous,8,"[10, inf)",49860,12715,37145,0.07711534968210718,0.10870689618322568,-0.343352885743787,0.010847048656268076,0.25501403931006816,0.030702581054029104
num_tl_90g_dpd_24m,continuous,0,"[-inf, 0)",561736,109087,452649,0.9397229303858962,0.9326348457257175,0.007571329166856643,5.366622212475961e-05,0.1941962060469687,0.0008416920129823669
num_tl_90g_dpd_24m,continuous,1,"[0, inf)",36913,7879,29034,0.060277069614103854,0.0673651542742825,-0.1111761256584295,0.0007880257908576073,0.21344783680546148,0.0008416920129823669
pct_tl_nvr_dlq,continuous,0,"[-inf, 95.3)",239483,47934,191549,0.39766589956704024,0.4098104174236433,-0.030082451806042743,0.0003653368731288879,0.20015616974900097,0.000722466061209239
pct_tl_nvr_dlq,continuous,1,"[95.3, 97.4)",60190,11852,48338,0.10035303191196727,0.10133156646076902,-0.009703688184887864,9.495394139712053e-06,0.19690978567868417,0.000722466061209239
pct_tl_nvr_dlq,continuous,2,"[97.4, inf)",298976,57180,241796,0.5019810685209924,0.48885801611558766,0.02649031514935233,0.000347633793940639,0.19125280959006744,0.000722466061209239
percent_bc_gt_75,continuous,0,"[-inf, 0)",122730,18850,103880,0.2156599780147461,0.16115739573136587,0.2913214908397165,0.01587777352540865,0.15358917949971482,0.03340420367867926
